Data,H,|I,Out_Acc,In_Acc,Sol_Time,Model,Warm_Start,Warm_Start_Time,Time_Limit,Rand_State,MIP_Gap,Obj_Val,Obj_Bound,VIS_Calls,VIS_Cuts,VIS_Time,HP_Time,FP_Time,FP_Num_CB,FP_Num_Cuts,Eps,Branch_Type
car,2,1296,0.87037037,0.896604938,600.00121,OCT-Multivariate,FALSE,0,600,0,1,6.51E-18,0.091820988,,,,,,,,,
car,4,1296,0.712962963,0.695987654,600.1060719,SOCT-Benders,None,0,600,42,0.436807095,1296,902,1795,11273,471.0442736,0,,,,,
car,3,1296,0.81712963,0.846450617,600.004571,OCT-Multivariate,FALSE,0,600,138,1,0,0.145833333,,,,,,,,,
car,4,1296,0.703703704,0.699074074,600.2492931,SOCT-Benders,None,0,600,0,0.430463576,1296,906,1773,10768,444.9714088,0,,,,,
car,3,1296,0.844907407,0.857253086,600.003294,OCT-Multivariate,FALSE,0,600,15,1,0,0.12962963,,,,,,,,,
car,5,1296,0.685185185,0.705246914,600.0482891,SOCT-Benders,None,0,600,138,0.417943107,1296,914,1149,9354,414.6310439,0,,,,,
car,3,1296,0.868055556,0.885802469,600.0020671,OCT-Multivariate,FALSE,0,600,89,1,0,0.109567901,,,,,,,,,
car,5,1296,0.706018519,0.698302469,600.041209,SOCT-Benders,None,0,600,15,0.432044199,1296,905,1282,10367,414.3707516,0,,,,,
car,3,1296,0.909722222,0.904320988,600.0188839,OCT-Multivariate,FALSE,0,600,42,1,0,0.090277778,,,,,,,,,
car,5,1296,0.694444444,0.702160494,600.0277491,SOCT-Benders,None,0,600,89,0.424175824,1296,910,1169,9252,418.5436873,0,,,,,
car,3,1296,0.863425926,0.891203704,600.0023241,OCT-Multivariate,FALSE,0,600,0,1,0,0.086419753,,,,,,,,,
car,5,1296,0.712962963,0.695987654,600.0052359,SOCT-Benders,None,0,600,42,0.436807095,1296,902,1230,10546,451.5732484,0,,,,,
car,4,1296,0.731481481,0.758487654,600.0118752,OCT-Multivariate,FALSE,0,600,138,1,0,0.242283951,,,,,,,,,
car,5,1296,0.703703704,0.699074074,600.0179131,SOCT-Benders,None,0,600,0,0.430463576,1296,906,1256,11315,431.0041833,0,,,,,
car,4,1296,0.738425926,0.726080247,600.0250249,OCT-Multivariate,FALSE,0,600,15,1,0,0.253858025,,,,,,,,,
kr_vs_kp,2,2397,0.523153942,0.521902378,600.2056949,SOCT-Benders,None,0,600,138,0.916067146,2397,1251,1151,2367,586.0020735,0,,,,,
car,4,1296,0.775462963,0.788580247,600.0084529,OCT-Multivariate,FALSE,0,600,89,1,0,0.211419753,,,,,,,,,
kr_vs_kp,2,2397,0.508135169,0.526908636,600.4762509,SOCT-Benders,None,0,600,15,0.897862233,2397,1263,1127,3287,584.1976314,0,,,,,
car,4,1296,0.844907407,0.861882716,600.0824249,OCT-Multivariate,FALSE,0,600,42,1,0,0.128858025,,,,,,,,,
