Data,H,|I|,Out_Acc,In_Acc,Sol_Time,MIP_Gap,Obj_Val,Obj_Bound,Model,HP_Time,HP_Obj,HP_Rank,FP_CB_Time,FP_Num_CB,FP_Cuts,FP_Cuts_per_CB,VIS_CB_Time,VIS_Num_CB,VIS_Cuts,Eps,Time_Limit,Rand_State,Warm_Start,Regularization,Max_Features
soybean-small,5,35,1.0,0.7714285714285715,0.5699779987335205,0.0,35.0,35.0,CUT1,0.6484508421272039,linear,0.9,0,0,0,0,0.4999958220869303,2,0,0,600,0,False,None,None
hayes-roth,2,99,0.3939393939393939,0.3838383838383838,2.593278169631958,0.0,99.0,99.0,CUT1,2.56270432472229,linear,|F|-1,0,0,0,0,2.5397123470902443,2,0,0,600,0,False,None,None
soybean-small,2,35,0.9166666666666666,0.9142857142857143,0.3855879306793213,0.0,35.0,35.0,CUT1,0.4401670563966036,linear,0.75,0,0,0,0,0.37785308063030243,2,0,0,600,138,False,None,None
soybean-small,2,35,0.8333333333333334,0.7714285714285715,0.4048030376434326,0.0,35.0,35.0,CUT1,0.45954615995287895,linear,0.75,0,0,0,0,0.3975177239626646,2,0,0,600,15,False,None,None
soybean-small,2,35,1.0,1.0,0.39533495903015137,0.0,35.0,35.0,CUT1,0.449531726539135,linear,0.75,0,0,0,0,0.38873882219195366,2,0,0,600,89,False,None,None
soybean-small,2,35,0.9166666666666666,0.9142857142857143,0.39080214500427246,0.0,35.0,35.0,CUT1,0.44338802993297577,linear,0.75,0,0,0,0,0.3831415791064501,2,0,0,600,42,False,None,None
soybean-small,2,35,0.6666666666666666,0.9428571428571428,0.4023399353027344,0.0,35.0,35.0,CUT1,0.4782120417803526,linear,0.75,0,0,0,0,0.39539459720253944,2,0,0,600,0,False,None,None
soybean-small,3,35,1.0,0.9714285714285714,0.4386320114135742,0.0,35.0,35.0,CUT1,0.5056285876780748,linear,0.75,0,0,0,0,0.42460724152624607,2,0,0,600,138,False,None,None
soybean-small,3,35,1.0,0.9714285714285714,0.41182780265808105,0.0,35.0,35.0,CUT1,0.47354558296501637,linear,0.75,0,0,0,0,0.39868627302348614,2,0,0,600,15,False,None,None
hayes-roth,3,99,0.36363636363636365,0.3939393939393939,2.9553000926971436,0.0,99.0,99.0,CUT1,2.8156004920601845,linear,|F|-1,0,0,0,0,2.7633355017751455,2,0,0,600,138,False,None,None
soybean-small,3,35,1.0,1.0,0.40562009811401367,0.0,35.0,35.0,CUT1,0.4771110098809004,linear,0.75,0,0,0,0,0.38976910524070263,2,0,0,600,89,False,None,None
soybean-small,3,35,0.9166666666666666,1.0,0.3969001770019531,0.0,35.0,35.0,CUT1,0.4457540921866894,linear,0.75,0,0,0,0,0.38352240435779095,2,0,0,600,42,False,None,None
soybean-small,3,35,0.75,0.8,0.4652378559112549,0.0,35.0,35.0,CUT1,0.5302061010152102,linear,0.75,0,0,0,0,0.4393060225993395,2,0,0,600,0,False,None,None
soybean-small,4,35,1.0,0.9714285714285714,0.4515800476074219,0.0,35.0,35.0,CUT1,0.5085110403597355,linear,0.75,0,0,0,0,0.41678616032004356,2,0,0,600,138,False,None,None
soybean-small,4,35,0.25,0.6285714285714286,0.5348069667816162,0.0,35.0,35.0,CUT1,0.621950363740325,linear,0.75,0,0,0,0,0.4965180102735758,2,0,0,600,15,False,None,None
climate,2,405,0.1111111111111111,0.07654320987654321,9.485126972198486,0.0,405.0,405.0,CUT1,9.402233231812716,linear,|F|-1,0,0,0,0,9.426197012886405,2,1,0,600,138,False,None,None
soybean-small,4,35,1.0,1.0,0.46845197677612305,0.0,35.0,35.0,CUT1,0.5181982275098562,linear,0.75,0,0,0,0,0.42674799636006355,2,0,0,600,89,False,None,None
hayes-roth,3,99,0.48484848484848486,0.35353535353535354,3.3095650672912598,0.0,99.0,99.0,CUT1,3.137139605358243,linear,|F|-1,0,0,0,0,3.093721564859152,2,1,0,600,15,False,None,None
soybean-small,4,35,0.25,0.4,0.4814879894256592,0.0,35.0,35.0,CUT1,0.5455311331897974,linear,0.75,0,0,0,0,0.44890905916690826,2,0,0,600,42,False,None,None
soybean-small,4,35,1.0,1.0,0.49001002311706543,0.0,35.0,35.0,CUT1,0.5439114086329937,linear,0.75,0,0,0,0,0.45266505144536495,2,0,0,600,0,False,None,None
breast-cancer,2,214,0.6527777777777778,0.7383177570093458,7.4251708984375,0.0,214.0,214.0,CUT1,7.932440850883722,linear,|F|-1,0,0,0,0,7.392835333943367,2,1,0,600,89,False,None,None
soybean-small,5,35,0.5833333333333334,0.8285714285714286,0.6348121166229248,0.0,35.0,35.0,CUT1,0.7557614501565695,linear,0.75,0,0,0,0,0.5685716848820448,2,0,0,600,138,False,None,None
soybean-small,5,35,0.75,0.8571428571428571,0.6048910617828369,0.0,35.0,35.0,CUT1,0.6800060011446476,linear,0.75,0,0,0,0,0.5370612125843763,2,0,0,600,15,False,None,None
soybean-small,5,35,0.6666666666666666,0.8,0.5823299884796143,0.0,35.0,35.0,CUT1,0.6480032838881016,linear,0.75,0,0,0,0,0.508444694802165,2,0,0,600,89,False,None,None
soybean-small,5,35,0.9166666666666666,1.0,0.5741860866546631,0.0,35.0,35.0,CUT1,0.6279550082981586,linear,0.75,0,0,0,0,0.5075010508298874,2,0,0,600,42,False,None,None
hayes-roth,3,99,0.3333333333333333,0.3434343434343434,4.476376056671143,0.0,99.0,99.0,CUT1,4.358930820599198,linear,|F|-1,0,0,0,0,4.272388072684407,2,3,0,600,89,False,None,None
soybean-small,5,35,1.0,0.7714285714285715,0.5755100250244141,0.0,35.0,35.0,CUT1,0.6292885839939117,linear,0.75,0,0,0,0,0.5056144781410694,2,0,0,600,0,False,None,None
soybean-small,2,35,0.9166666666666666,0.9142857142857143,0.3868680000305176,0.0,35.0,35.0,CUT1,0.43909761495888233,linear,0.5,0,0,0,0,0.3791510872542858,2,0,0,600,138,False,None,None
soybean-small,2,35,0.8333333333333334,0.7714285714285715,0.40434789657592773,0.0,35.0,35.0,CUT1,0.47904856875538826,linear,0.5,0,0,0,0,0.3972374703735113,2,0,0,600,15,False,None,None
house-votes-84,2,326,0.9357798165137615,0.9478527607361963,19.95025610923767,0.0,326.0,326.0,CUT1,21.161987613886595,linear,|F|-1,0,0,0,0,19.897857442498207,2,0,0,600,138,False,None,None
soybean-small,2,35,1.0,1.0,0.3937511444091797,0.0,35.0,35.0,CUT1,0.4505885262042284,linear,0.5,0,0,0,0,0.3871446046978235,2,0,0,600,89,False,None,None
soybean-small,2,35,0.9166666666666666,0.9142857142857143,0.39067697525024414,0.0,35.0,35.0,CUT1,0.46261619962751865,linear,0.5,0,0,0,0,0.3828800395131111,2,0,0,600,42,False,None,None
soybean-small,2,35,0.6666666666666666,0.9428571428571428,0.40081095695495605,0.0,35.0,35.0,CUT1,0.47760986164212227,linear,0.5,0,0,0,0,0.3938239458948374,2,0,0,600,0,False,None,None
hayes-roth,3,99,0.36363636363636365,0.3939393939393939,2.672374963760376,0.0,99.0,99.0,CUT1,2.6582063529640436,linear,|F|-1,0,0,0,0,2.6163001600652933,2,0,0,600,42,False,None,None
soybean-small,3,35,1.0,0.9714285714285714,0.43901610374450684,0.0,35.0,35.0,CUT1,0.5071507822722197,linear,0.5,0,0,0,0,0.42517204210162163,2,0,0,600,138,False,None,None
soybean-small,3,35,1.0,0.9714285714285714,0.412463903427124,0.0,35.0,35.0,CUT1,0.4753075484186411,linear,0.5,0,0,0,0,0.39915600046515465,2,0,0,600,15,False,None,None
soybean-small,3,35,1.0,1.0,0.4088160991668701,0.0,35.0,35.0,CUT1,0.4563863091170788,linear,0.5,0,0,0,0,0.39293121732771397,2,0,0,600,89,False,None,None
breast-cancer,2,214,0.6666666666666666,0.7289719626168224,7.42948317527771,0.0,214.0,214.0,CUT1,7.903942909091711,linear,|F|-1,0,0,0,0,7.3982446156442165,2,1,0,600,42,False,None,None
soybean-small,3,35,0.9166666666666666,1.0,0.39925718307495117,0.0,35.0,35.0,CUT1,0.44493906386196613,linear,0.5,0,0,0,0,0.3859089594334364,2,0,0,600,42,False,None,None
soybean-small,3,35,0.75,0.8,0.46483492851257324,0.0,35.0,35.0,CUT1,0.5284509137272835,linear,0.5,0,0,0,0,0.4398806020617485,2,0,0,600,0,False,None,None
soybean-small,4,35,1.0,0.9714285714285714,0.4514200687408447,0.0,35.0,35.0,CUT1,0.5328148081898689,linear,0.5,0,0,0,0,0.4167272727936506,2,0,0,600,138,False,None,None
hayes-roth,3,99,0.3939393939393939,0.3838383838383838,3.1174418926239014,0.0,99.0,99.0,CUT1,3.010342936962843,linear,|F|-1,0,0,0,0,2.975696424022317,2,1,0,600,0,False,None,None
soybean-small,4,35,0.25,0.6285714285714286,0.5353209972381592,0.0,35.0,35.0,CUT1,0.6233584843575954,linear,0.5,0,0,0,0,0.4967171400785446,2,0,0,600,15,False,None,None
